date,open,high,low,close,volume,hold,settle
2020-02-19,4036.2,4066.2,4025.2,4036.2,7188,24455,0.0
2020-02-20,4050.2,4138.8,4040.0,4123.2,10884,26560,0.0
2020-02-21,4116.2,4175.0,4115.2,4145.0,11410,25910,0.0
2020-02-24,4123.0,4137.6,4080.6,4106.2,13462,28954,0.0
2020-02-25,4065.0,4116.8,4013.6,4105.2,17680,29802,0.0
2020-02-26,4061.2,4109.6,4038.0,4060.6,15331,29425,0.0
2020-02-27,4075.0,4095.6,4060.0,4066.2,11300,28649,0.0
2020-02-28,4006.0,4015.0,3887.0,3900.0,20735,29859,0.0
2020-03-02,3946.2,4078.0,3946.0,4041.8,17134,28654,0.0
2020-03-03,4100.0,4134.0,4045.0,4056.2,16897,30740,0.0
2020-03-04,4056.0,4087.8,4039.6,4086.0,15075,29445,0.0
2020-03-05,4120.0,4193.6,4098.2,4175.4,18374,32459,0.0
2020-03-06,4131.0,4151.4,4098.0,4098.0,15381,29358,0.0
2020-03-09,4035.0,4035.0,3939.0,3948.4,19362,31303,0.0
2020-03-10,3981.0,4073.2,3929.0,4050.6,21814,31789,0.0
2020-03-11,4060.0,4060.0,3976.0,3976.8,15472,32925,0.0
2020-03-12,3921.0,3938.0,3870.0,3917.8,17989,32452,0.0
2020-03-13,3740.0,3898.6,3685.6,3867.0,25078,35736,0.0
2020-03-16,3870.0,3870.0,3642.4,3644.6,23498,35438,0.0
2020-03-17,3740.0,3747.4,3571.0,3643.2,26140,38364,0.0
2020-03-18,3663.0,3725.0,3534.2,3547.0,25570,38194,0.0
2020-03-19,3600.2,3600.2,3418.0,3520.4,32731,42911,0.0
2020-03-20,3565.0,3601.8,3509.0,3589.4,23252,39773,0.0
2020-03-23,3480.0,3530.0,3438.6,3470.2,22142,41185,0.0
2020-03-24,3564.0,3585.4,3493.6,3563.0,24398,40057,0.0
2020-03-25,3640.0,3674.6,3616.2,3649.6,21329,40803,0.0
2020-03-26,3620.0,3662.6,3615.0,3618.2,16908,38304,0.0
2020-03-27,3666.2,3696.0,3635.0,3636.0,19317,40197,0.0
2020-03-30,3609.2,3633.0,3575.0,3615.0,17210,37822,0.0
2020-03-31,3650.0,3659.8,3607.2,3609.0,15175,39283,0.0
2020-04-01,3617.0,3671.4,3598.2,3605.2,18242,40193,0.0
2020-04-02,3607.0,3685.6,3592.4,3683.0,19190,39809,0.0
2020-04-03,3668.0,3678.4,3634.0,3653.2,13609,39017,0.0
2020-04-07,3720.0,3752.0,3720.0,3733.2,14989,39707,0.0
